title,price_idr,rating,colors,sizes,gender,timestamp
T-shirt 2,1634400.0,5.0,3,M,women,2026-02-18 13:39:19.733525
Hoodie 3,7950080.0,5.0,3,L,unisex,2026-02-18 13:39:19.733949
Pants 4,7476960.0,5.0,3,XL,men,2026-02-18 13:39:19.734278
Outerwear 5,5145440.0,5.0,3,XXL,women,2026-02-18 13:39:19.734598
Jacket 6,2453920.0,5.0,3,S,unisex,2026-02-18 13:39:19.735066
Crewneck 7,6892000.0,5.0,3,M,men,2026-02-18 13:39:19.735394
T-shirt 8,7802560.0,5.0,3,L,women,2026-02-18 13:39:19.735712
Hoodie 9,3972160.0,5.0,3,XL,unisex,2026-02-18 13:39:19.737814
Pants 10,3100160.0,5.0,3,XXL,men,2026-02-18 13:39:19.738929
Jacket 12,8527840.0,5.0,3,M,unisex,2026-02-18 13:39:19.739990
Crewneck 13,5447200.0,5.0,3,L,men,2026-02-18 13:39:19.740323
T-shirt 14,3248800.0,5.0,3,XL,women,2026-02-18 13:39:19.740645
Hoodie 15,2184160.0,5.0,3,XXL,unisex,2026-02-18 13:39:19.740999
Outerwear 17,841600.0,5.0,3,M,women,2026-02-18 13:39:19.741695
Jacket 18,5500000.0,5.0,3,L,unisex,2026-02-18 13:39:19.742021
Crewneck 19,1308960.0,5.0,3,XL,men,2026-02-18 13:39:19.742349
T-shirt 20,1325600.0,5.0,3,XXL,women,2026-02-18 13:39:19.742666
Pants 22,4319680.0,5.0,3,M,men,2026-02-18 13:39:21.598209
Outerwear 23,4655840.0,5.0,3,L,women,2026-02-18 13:39:21.598545
Jacket 24,8223520.0,5.0,3,XL,unisex,2026-02-18 13:39:21.598869
Crewneck 25,8322560.0,5.0,3,XXL,men,2026-02-18 13:39:21.599197
T-shirt 26,7292320.0,5.0,3,S,women,2026-02-18 13:39:21.599520
Hoodie 27,3551840.0,5.0,3,M,unisex,2026-02-18 13:39:21.599835
Pants 28,5216160.0,5.0,3,L,men,2026-02-18 13:39:21.600217
